"","species","genus","raw_growth_form","domain","cat_growthrate","cat_corallitesize","cat_colonydiameter","cat_skeletaldensity","cat_colonyheight","cat_SA_vol","cat_spacesize","dat_corallite","Tropical.Australia","reproductive_mode","raw_colonydiam","raw_growth","dat_growth","dat_colonydiameter","link","Growth.form.typical","sa_vol2","log_growth","log_corallite","log_diameter","PC1","PC2","PC3","PC4","PCo1","PCo2","PCo3","PCo4","dim1","dim2","dim3","dim4","mclust","kclust","clust","gen"
"Acropora cardenae","Acropora cardenae","Acropora","branching_open","pacific",5,1,3,2,5,4,5,1,1,"spawner",NA,NA,58.7,146.7,"Acropora...Staghorn","branching_open",2.025,4.07243972683405,0,4.98838968514894,-2.85864206136922,0.600637015223658,0.24570563982547,-0.365361943772164,-0.286646463909355,-0.0660614261136365,0.0178640368790889,-0.00898569847076849,0.286646463909355,-0.0660614261136365,0.0178640368790889,-0.00898569847076849,1,8,8,"Acropora"
"Acropora carduus","Acropora carduus","Acropora","hispidose","pacific",5,1,3,2,4,4,5,0.9,1,"spawner",NA,NA,58.7,146.7,"Acropora...Staghorn","branching_open",2.025,4.07243972683405,-0.105360515657826,4.98838968514894,-2.68087392072431,0.0690141975911724,0.276931087364754,0.0138391510961558,-0.252721709350514,-0.0450165091673627,-0.00357845742356556,0.0184884909008647,0.252721709350514,-0.0450165091673627,-0.00357845742356556,0.0184884909008647,1,8,8,"Acropora"
"Acropora caroliniana","Acropora caroliniana","Acropora","tables_or_plates","pacific",5,1,1,2,2,5,5,1,1,"spawner",50,NA,30.4,50,"Acropora...Tabular","tables_or_plates",1.242,3.41444260841218,0,3.91202300542815,-1.77222660307493,-1.34964723572373,1.40427744723295,0.789134381193545,-0.224501738970123,0.137066015786608,-0.0415008490958372,-0.156378633548372,0.224501738970123,0.137066015786608,-0.0415008490958372,-0.156378633548372,3,5,5,"Acropora"
"Acropora cerealis","Acropora cerealis","Acropora","corymbose","pacific",3,1,1,2,3,5,3,0.8,1,"spawner",50,42.9,21.5,50,"Acropora...other","corymbose",4.05,3.06805293513362,-0.22314355131421,3.91202300542815,-1.28004320583743,-0.844037858385116,1.09398115192045,0.667631800526285,-0.13710049963867,0.0836950662452048,-0.0863017415695096,0.00192016715216687,0.13710049963867,0.0836950662452048,-0.0863017415695096,0.00192016715216687,2,7,7,"Acropora"
"Acropora chesterfieldensis","Acropora chesterfieldensis","Acropora","branching_closed","pacific",5,1,3,2,4,3,4,1,1,"spawner",NA,NA,58.7,146.7,"Acropora...other","branching_closed",2.025,4.07243972683405,0,4.98838968514894,-2.092327344863,0.447115507052104,0.10707596070387,-0.00857326226854907,-0.169177613813085,-0.0669090700622251,-0.0219296127343506,0.0329589585350972,0.169177613813085,-0.0669090700622251,-0.0219296127343506,0.0329589585350972,4,4,4,"Acropora"
"Acropora clathrata","Acropora clathrata","Acropora","tables_or_plates","pacific",5,1,3,2,2,5,5,0.9,1,"spawner",NA,NA,30.4,103.2,"Acropora...Tabular","tables_or_plates",1.242,3.41444260841218,-0.105360515657826,4.63666885304746,-2.06666450429724,-1.29916008153403,0.647308631683651,0.970662865780083,-0.236238106430769,0.133160851835722,-0.0447793140386086,-0.114376159788201,0.236238106430769,0.133160851835722,-0.0447793140386086,-0.114376159788201,3,5,5,"Acropora"
"Acropora convexa","Acropora convexa","Acropora","corymbose","pacific",4,1,3,2,3,5,3,1.1,1,"spawner",NA,NA,31.6,105.3,"Acropora...other","corymbose",4.05,3.45315712059287,0.0953101798043249,4.65681341913993,-1.65445892626405,-0.731955179901353,0.349905500421142,0.814823702341553,-0.156548166474924,0.0773702917841756,-0.0872094769647358,0.0371079363285668,0.156548166474924,0.0773702917841756,-0.0872094769647358,0.0371079363285668,2,7,7,"Acropora"
"Acropora cophodactyla","Acropora cophodactyla","Acropora","digitate","pacific",4,1,3,3,3,4,3,1.3,1,"spawner",NA,NA,30.5,103.3,"Acropora...other","digitate",2.2,3.41772668361337,0.262364264467491,4.63763737612559,-1.03977107610752,-0.854094649612112,-0.0228665204804837,-0.099535957828909,-0.0955599488975062,0.0750669008053984,0.0123416707389008,0.036866427356333,0.0955599488975062,0.0750669008053984,0.0123416707389008,0.036866427356333,2,7,7,"Acropora"
"Acropora copiosa","Acropora copiosa","Acropora","branching_open","pacific",5,1,3,2,5,4,5,1.1,1,"spawner",NA,NA,58.7,146.7,"Acropora...Staghorn","branching_open",2.025,4.07243972683405,0.0953101798043249,4.98838968514894,-2.83113096685647,0.619026054824566,0.241062446554458,-0.356911037401487,-0.28483822365948,-0.066524500600673,0.017449210340329,-0.00887420971193457,0.28483822365948,-0.066524500600673,0.017449210340329,-0.00887420971193457,1,8,8,"Acropora"
"Acropora cylindrica","Acropora cylindrica","Acropora","branching_open","pacific",5,1,2,2,5,4,5,1.6,1,"spawner",100,NA,58.7,100,"Acropora...Staghorn","branching_open",2.025,4.07243972683405,0.470003629245736,4.60517018598809,-2.58334984821084,0.653869246100558,0.625836134118247,-0.424627329111285,-0.269105044260908,-0.0682917861590062,0.0169967741220005,-0.0210977238520665,0.269105044260908,-0.0682917861590062,0.0169967741220005,-0.0210977238520665,1,8,8,"Acropora"
"Acropora cytherea","Acropora cytherea","Acropora","tables_or_plates","pacific",5,1,4,2,2,5,5,1,1,"spawner",300,59.7,59.7,300,"Acropora...Tabular","tables_or_plates",1.242,4.08933202039856,0,5.7037824746562,-2.76674110153439,-1.21335518530254,-0.384189061850632,1.1257519806046,-0.278487303662964,0.138174516957907,-0.0583588078417398,-0.0864570126435288,0.278487303662964,0.138174516957907,-0.0583588078417398,-0.0864570126435288,3,5,5,"Acropora"
"Acropora dendrum","Acropora dendrum","Acropora","corymbose","pacific",4,1,2,2,3,5,3,1.2,1,"spawner",100,NA,31.6,100,"Acropora...other","corymbose",4.05,3.45315712059287,0.182321556793955,4.60517018598809,-1.6105269755844,-0.720214085612613,0.399979186000122,0.808936032457023,-0.154077110855221,0.0765254525576884,-0.086589230312509,0.0349149196703604,0.154077110855221,0.0765254525576884,-0.086589230312509,0.0349149196703604,2,7,7,"Acropora"
"Acropora derawanensis","Acropora derawanensis","Acropora","branching_open","pacific",5,1,2,2,5,4,5,1,1,"spawner",100,NA,58.7,100,"Acropora...Staghorn","branching_open",2.025,4.07243972683405,0,4.60517018598809,-2.71901546432934,0.563187271011278,0.648733139381959,-0.466301331539867,-0.278140979918071,-0.0647344377799888,0.0182540717681536,-0.0214807945476105,0.278140979918071,-0.0647344377799888,0.0182540717681536,-0.0214807945476105,1,8,8,"Acropora"
"Acropora desalwii","Acropora desalwii","Acropora","corymbose","pacific",4,1,1,2,3,5,3,0.8,1,"spawner",30,NA,31.6,30,"Acropora...other","corymbose",4.05,3.45315712059287,-0.22314355131421,3.40119738166216,-1.28889438551807,-0.916101114767867,1.68593631510729,0.455860030584964,-0.146288557173995,0.0897892494347731,-0.0910622410276263,-0.0121261299845668,0.146288557173995,0.0897892494347731,-0.0910622410276263,-0.0121261299845668,2,7,7,"Acropora"
"Acropora digitifera","Acropora digitifera","Acropora","digitate","pacific",4,1,2,3,3,4,3,1.6,1,"spawner",100,37.6,37.6,100,"Acropora...other","digitate",2.2,3.62700405039585,0.470003629245736,4.60517018598809,-1.07396024783041,-0.829239128036038,0.0309030117926736,-0.131641241778875,-0.0967856054250987,0.0731478298211382,0.0115379516917263,0.0412037761017012,0.0967856054250987,0.0731478298211382,0.0115379516917263,0.0412037761017012,2,7,7,"Acropora"
"Acropora divaricata","Acropora divaricata","Acropora","tables_or_plates","pacific",5,1,3,2,2,5,5,1.1,1,"spawner",NA,41.5,41.5,121.9,"Acropora...Tabular","tables_or_plates",1.242,3.72569342723665,0.0953101798043249,4.80320103648723,-2.22699819546351,-1.26206550258675,0.506623406521599,0.969908067707351,-0.247111725321807,0.131963819192504,-0.0483959241994429,-0.1071643089247,0.247111725321807,0.131963819192504,-0.0483959241994429,-0.1071643089247,3,5,5,"Acropora"
"Acropora donei","Acropora donei","Acropora","branching_open","pacific",5,1,4,2,5,4,5,1.4,1,"spawner",266.7,NA,58.7,266.7,"Acropora...Staghorn","branching_open",2.025,4.07243972683405,0.336472236621213,5.58612443118797,-2.97930556481694,0.723968625863901,-0.399316857476745,-0.178085471409118,-0.292342033025853,-0.0720113740698398,0.015489301524029,0.00475245850236415,0.292342033025853,-0.0720113740698398,0.015489301524029,0.00475245850236415,1,8,8,"Acropora"
"Acropora echinata","Acropora echinata","Acropora","hispidose","pacific",5,1,3,2,4,4,5,1,1,"spawner",150,NA,58.7,150,"Acropora...Staghorn","branching_open",2.025,4.07243972683405,0,5.01063529409626,-2.65856703753977,0.091516267760056,0.248402826592751,0.0290406515961072,-0.251363409942725,-0.0455654884574192,-0.00372464480273886,0.0188563712353351,0.251363409942725,-0.0455654884574192,-0.00372464480273886,0.0188563712353351,1,8,8,"Acropora"
"Acropora efflorescens","Acropora efflorescens","Acropora","tables_or_plates","pacific",5,1,4,2,2,5,5,0.9,1,"spawner",200,NA,30.4,200,"Acropora...Tabular","tables_or_plates",1.242,3.41444260841218,-0.105360515657826,5.29831736654804,-2.30773712867799,-1.23450113896103,-0.0485394307592299,1.14493999942387,-0.250467344860073,0.135780459651238,-0.048559119295285,-0.0962574357667069,0.250467344860073,0.135780459651238,-0.048559119295285,-0.0962574357667069,3,5,5,"Acropora"
"Acropora elegans","Acropora elegans","Acropora","tables_or_plates","pacific",5,1,3,2,2,5,5,0.8,1,"spawner",NA,NA,30.4,103.2,"Acropora...Tabular","tables_or_plates",1.242,3.41444260841218,-0.22314355131421,4.63666885304746,-2.1006623441145,-1.32188500883401,0.653046627349192,0.960219349584544,-0.2380733325556,0.134337644944133,-0.0449293045822019,-0.1144755319888,0.2380733325556,0.134337644944133,-0.0449293045822019,-0.1144755319888,3,5,5,"Acropora"
"Acropora elseyi","Acropora elseyi","Acropora","hispidose","pacific",5,1,1,2,4,4,5,0.9,1,"spawner",50,135.1,135.1,50,"Acropora...Staghorn","branching_open",2.025,4.90601524496615,-0.105360515657826,3.91202300542815,-2.71072226704649,-0.084102910968504,1.52738987820407,-0.436822731992615,-0.254376834462292,-0.0472946108773648,-0.000983051137057462,-0.0273766441180496,0.254376834462292,-0.0472946108773648,-0.000983051137057462,-0.0273766441180496,1,8,8,"Acropora"
"Acropora exquisita","Acropora exquisita","Acropora","branching_closed","pacific",5,1,3,2,4,3,4,0.8,1,"spawner",NA,NA,58.7,146.7,"Acropora...other","branching_closed",2.025,4.07243972683405,-0.22314355131421,4.98838968514894,-2.15673728871916,0.40406243958094,0.117946768397854,-0.0283588220403201,-0.172163850400055,-0.066530173649504,-0.0223127954412733,0.0338521464128845,0.172163850400055,-0.066530173649504,-0.0223127954412733,0.0338521464128845,4,4,4,"Acropora"
"Acropora fastigata","Acropora fastigata","Acropora","branching_closed","pacific",5,1,3,2,4,3,4,1.7,1,"spawner",NA,NA,58.7,146.7,"Acropora...other","branching_closed",2.025,4.07243972683405,0.53062825106217,4.98838968514894,-1.93916255180436,0.549494328938455,0.0812255265760675,0.0384761680920779,-0.16074580343848,-0.0703667648880883,-0.022159954384443,0.0332305403138184,0.16074580343848,-0.0703667648880883,-0.022159954384443,0.0332305403138184,4,4,4,"Acropora"
"Acropora fenneri","Acropora fenneri","Acropora","branching_open","pacific",5,1,2,2,5,4,5,1.3,1,"spawner",100,NA,58.7,100,"Acropora...Staghorn","branching_open",2.025,4.07243972683405,0.262364264467491,4.60517018598809,-2.64328453934993,0.613807539056739,0.635951629685613,-0.443038172886948,-0.273094005913036,-0.0664192760842406,0.0174264392353173,-0.0212459210193835,0.273094005913036,-0.0664192760842406,0.0174264392353173,-0.0212459210193835,1,8,8,"Acropora"
"Acropora florida","Acropora florida","Acropora","branching_open","pacific",5,1,5,2,5,4,5,1.4,1,"spawner",1500,NA,58.7,1500,"Acropora...Staghorn","branching_open",2.025,4.07243972683405,0.336472236621213,7.3132203870903,-3.60857555658939,0.892747359515004,-2.21568362932854,0.27682877169856,-0.32827369679465,-0.0836836778704526,0.0138197639501538,0.0217170003688477,0.32827369679465,-0.0836836778704526,0.0138197639501538,0.0217170003688477,1,8,8,"Acropora"
"Acropora gemmifera","Acropora gemmifera","Acropora","digitate","pacific",3,1,2,2,3,4,3,1.6,1,"spawner",NA,24,24,90.9,"Acropora...other","digitate",2.2,3.17805383034795,0.470003629245736,4.50976000118343,-1.0900123888615,-0.309166651739062,0.40541493126804,0.724038448498579,-0.117033063665837,0.0567301462646803,-0.0553096982548006,0.0289738656884741,0.117033063665837,0.0567301462646803,-0.0553096982548006,0.0289738656884741,2,7,7,"Acropora"
"Acropora glauca","Acropora glauca","Acropora","tables_or_plates","pacific",5,1,3,2,2,5,5,1.3,1,"spawner",NA,NA,30.4,103.2,"Acropora...Tabular","tables_or_plates",1.242,3.41444260841218,0.262364264467491,4.63666885304746,-1.96052147527893,-1.22821167331738,0.629394309958862,1.00326806800923,-0.229828447817941,0.129198535203633,-0.0454544638426053,-0.114948703733716,0.229828447817941,0.129198535203633,-0.0454544638426053,-0.114948703733716,3,5,5,"Acropora"
"Acropora globiceps","Acropora globiceps","Acropora","digitate","pacific",4,2,3,3,3,4,3,2.1,1,"spawner",NA,NA,30.5,103.3,"Acropora...other","digitate",2.2,3.41772668361337,0.741937344729377,4.63763737612559,-0.901343256918153,-0.761566355335771,-0.0462297174002889,-0.0570134570056927,-0.0878624665837952,0.0716302718465692,0.0114676916280685,0.0366233079972372,0.0878624665837952,0.0716302718465692,0.0114676916280685,0.0366233079972372,2,7,7,"Acropora"
"Acropora gomezi","Acropora gomezi","Acropora","branching_open","pacific",4,1,3,2,5,4,5,1,1,"spawner",NA,30.6,30.6,103.4,"Acropora...Staghorn","branching_open",2.025,3.42100000895834,0,4.63860496207433,-2.40138537042602,0.603912164289736,0.520996396647196,-0.326867894769176,-0.260412263660128,-0.0581870534504008,0.0195955078052505,-0.0252708756747706,0.260412263660128,-0.0581870534504008,0.0195955078052505,-0.0252708756747706,1,8,8,"Acropora"
"Acropora grandis","Acropora grandis","Acropora","branching_open","pacific",5,1,5,2,5,4,5,1.7,1,"spawner",450,NA,58.7,450,"Acropora...Staghorn","branching_open",2.025,4.07243972683405,0.53062825106217,6.10924758276437,-3.11386351784126,0.812550559784716,-0.958938036356253,-0.0230803808931159,-0.298959546288756,-0.0776983483025732,0.0135645409615878,0.0138151791009171,0.298959546288756,-0.0776983483025732,0.0135645409615878,0.0138151791009171,1,8,8,"Acropora"
"Acropora granulosa","Acropora granulosa","Acropora","tables_or_plates","pacific",5,1,2,2,2,5,5,0.9,1,"spawner",75,7.2,7.2,75,"Acropora...Tabular","tables_or_plates",1.242,1.97408102602201,-0.105360515657826,4.31748811353631,-1.22114160063652,-1.24753150927412,0.778302659497825,1.17541266223259,-0.177529751886195,0.124244987808274,-0.0662082768706012,-0.155144659402023,0.177529751886195,0.124244987808274,-0.0662082768706012,-0.155144659402023,3,5,5,"Acropora"
"Acropora hoeksemai","Acropora hoeksemai","Acropora","branching_open","pacific",5,1,4,2,5,4,5,1.1,1,"spawner",333.3,NA,58.7,333.3,"Acropora...Staghorn","branching_open",2.025,4.07243972683405,0.0953101798043249,5.8090429853137,-3.13013722280761,0.69922358194809,-0.622009104586431,-0.140752303648201,-0.301887207206755,-0.0715756439739715,0.0153729007267927,0.00878401058259014,0.301887207206755,-0.0715756439739715,0.0153729007267927,0.00878401058259014,1,8,8,"Acropora"
"Acropora horrida","Acropora horrida","Acropora","branching_closed","pacific",5,1,4,1,4,3,4,1.5,1,"spawner",200,NA,58.7,200,"Acropora...other","branching_closed",2.025,4.07243972683405,0.405465108108164,5.29831736654804,-2.36632359038312,1.05921475682012,0.099344562250813,0.899799743787204,-0.189916071959859,-0.0855937856087843,-0.0403373779026784,0.0709282788555024,0.189916071959859,-0.0855937856087843,-0.0403373779026784,0.0709282788555024,4,4,4,"Acropora"
"Acropora humilis","Acropora humilis","Acropora","digitate","pacific",3,1,2,2,3,4,3,1.8,1,"spawner",NA,20.2,14.5,69.3,"Acropora...other","digitate",2.2,2.67414864942653,0.587786664902119,4.23844490619586,-0.702042442405981,-0.283981383616986,0.613407702575427,0.764061141761142,-0.0956276525373243,0.0544732545085261,-0.0603678388470855,0.0157036436680013,0.0956276525373243,0.0544732545085261,-0.0603678388470855,0.0157036436680013,2,7,7,"Acropora"
"Acropora hyacinthus","Acropora hyacinthus","Acropora","tables_or_plates","pacific",5,1,4,2,2,5,5,1.1,1,"spawner",300,80.6,47.5,300,"Acropora...Tabular","tables_or_plates",1.242,3.8607297110406,0.0953101798043249,5.7037824746562,-2.62349280727952,-1.18182160791471,-0.421318114635506,1.18004224988943,-0.269451091791608,0.13674042069123,-0.0564609140584976,-0.0876623150530196,0.269451091791608,0.13674042069123,-0.0564609140584976,-0.0876623150530196,3,5,5,"Acropora"
"Acropora indonesia","Acropora indonesia","Acropora","branching_open","pacific",5,1,2,2,5,4,5,1,1,"spawner",100,NA,58.7,100,"Acropora...Staghorn","branching_open",2.025,4.07243972683405,0,4.60517018598809,-2.71901546432934,0.563187271011278,0.648733139381959,-0.466301331539867,-0.278140979918071,-0.0647344377799888,0.0182540717681536,-0.0214807945476106,0.278140979918071,-0.0647344377799888,0.0182540717681536,-0.0214807945476106,1,8,8,"Acropora"
"Acropora inermis","Acropora inermis","Acropora","branching_closed","pacific",5,1,3,2,4,3,4,1.4,1,"spawner",NA,NA,58.7,146.7,"Acropora...other","branching_closed",2.025,4.07243972683405,0.336472236621213,4.98838968514894,-1.99520530059018,0.512034084443697,0.0906841583993374,0.0212608580096405,-0.16395575256091,-0.0687633678586997,-0.0218548111552538,0.0330560594781799,0.16395575256091,-0.0687633678586997,-0.0218548111552538,0.0330560594781799,4,4,4,"Acropora"
"Acropora insignis","Acropora insignis","Acropora","branching_closed","pacific",5,1,3,2,4,3,4,0.6,1,"spawner",NA,NA,58.7,146.7,"Acropora...other","branching_closed",2.025,4.07243972683405,-0.510825623765991,4.98838968514894,-2.23977614879786,0.348557381950703,0.131961677043932,-0.0538668450427272,-0.175727172191552,-0.0674646102378277,-0.0227050452045327,0.0356628660620125,0.175727172191552,-0.0674646102378277,-0.0227050452045327,0.0356628660620125,4,4,4,"Acropora"
"Acropora intermedia","Acropora intermedia","Acropora","branching_open","pacific",5,1,5,2,5,4,5,1.5,1,"spawner",500,NA,58.7,500,"Acropora...Staghorn","branching_open",2.025,4.07243972683405,0.405465108108164,6.21460809842219,-3.18837987228991,0.798697974376602,-1.06364693802526,-0.00642648497638516,-0.303705736315199,-0.076994681701229,0.0138945628747319,0.0155799012578823,0.303705736315199,-0.076994681701229,0.0138945628747319,0.0155799012578823,1,8,8,"Acropora"
"Acropora irregularis","Acropora irregularis","Acropora","branching_open","pacific",5,1,4,2,5,4,5,0.8,1,"spawner",300,NA,58.7,300,"Acropora...Staghorn","branching_open",2.025,4.07243972683405,-0.22314355131421,5.7037824746562,-3.18370643686182,0.62749499621713,-0.495793846234417,-0.196714215716937,-0.305792692896678,-0.0696653539410244,0.0167866643776517,0.00685026664131422,0.305792692896678,-0.0696653539410244,0.0167866643776517,0.00685026664131422,1,8,8,"Acropora"
"Acropora jacquelineae","Acropora jacquelineae","Acropora","tables_or_plates","pacific",5,1,2,2,2,5,5,0.5,1,"spawner",86.7,NA,30.4,86.7,"Acropora...Tabular","tables_or_plates",1.242,3.41444260841218,-0.693147180559945,4.4624538837865,-2.17285247590983,-1.42959196843237,0.859163493815969,0.872657409888473,-0.241490219196148,0.137770848535615,-0.0450745327419057,-0.125726225771368,0.241490219196148,0.137770848535615,-0.0450745327419057,-0.125726225771368,3,5,5,"Acropora"
"Acropora kimbeensis","Acropora kimbeensis","Acropora","branching_closed","pacific",5,1,3,2,4,3,4,0.6,1,"spawner",NA,NA,58.7,146.7,"Acropora...other","branching_closed",2.025,4.07243972683405,-0.510825623765991,4.98838968514894,-2.23977614879786,0.348557381950703,0.131961677043932,-0.0538668450427272,-0.175727172191552,-0.0674646102378277,-0.0227050452045327,0.0356628660620125,0.175727172191552,-0.0674646102378277,-0.0227050452045327,0.0356628660620125,4,4,4,"Acropora"
"Acropora kirstyae","Acropora kirstyae","Acropora","branching_closed","pacific",5,1,3,2,4,3,4,0.8,1,"spawner",NA,NA,58.7,146.7,"Acropora...other","branching_closed",2.025,4.07243972683405,-0.22314355131421,4.98838968514894,-2.15673728871916,0.40406243958094,0.117946768397854,-0.0283588220403201,-0.172163850400055,-0.0665301736495041,-0.0223127954412732,0.0338521464128845,0.172163850400055,-0.0665301736495041,-0.0223127954412732,0.0338521464128845,4,4,4,"Acropora"
"Acropora kosurini","Acropora kosurini","Acropora","branching_open","pacific",5,1,3,2,5,4,5,0.8,1,"spawner",NA,NA,58.7,146.7,"Acropora...Staghorn","branching_open",2.025,4.07243972683405,-0.22314355131421,4.98838968514894,-2.92305200522539,0.557583947752494,0.256576447519454,-0.385147503543935,-0.290729212171236,-0.0654462409099612,0.0185119321275102,-0.00901334402668971,0.290729212171236,-0.0654462409099612,0.0185119321275102,-0.00901334402668971,1,8,8,"Acropora"
"Acropora latistella","Acropora latistella","Acropora","corymbose","pacific",4,1,3,2,3,5,3,0.9,1,"spawner",NA,NA,31.6,105.3,"Acropora...other","corymbose",4.05,3.45315712059287,-0.105360515657826,4.65681341913993,-1.71238212481571,-0.770672359673455,0.359681505720598,0.797030752394644,-0.159281498460135,0.0791140068561893,-0.0877988268943491,0.0380798248455089,0.159281498460135,0.0791140068561893,-0.0877988268943491,0.0380798248455089,2,7,7,"Acropora"
"Acropora lianae","Acropora lianae","Acropora","branching_closed","pacific",5,1,1,2,4,3,4,0.6,1,"spawner",50,NA,58.7,50,"Acropora...other","branching_closed",2.025,4.07243972683405,-0.510825623765991,3.91202300542815,-1.8476003409759,0.243370519271377,1.26396402161073,-0.337380063713709,-0.159967005591387,-0.0663550862598779,-0.0200405129877948,-0.00513998970685306,0.159967005591387,-0.0663550862598779,-0.0200405129877948,-0.00513998970685306,4,4,4,"Acropora"
"Acropora listeri","Acropora listeri","Acropora","branching_closed","pacific",5,1,1,2,4,3,4,1,1,"spawner",50,NA,58.7,50,"Acropora...other","branching_closed",2.025,4.07243972683405,0,3.91202300542815,-1.70015153704103,0.341928644372778,1.23907830527067,-0.292086480939531,-0.153830876321735,-0.0658463709282615,-0.0192895952392246,-0.00681184126252476,0.153830876321735,-0.0658463709282615,-0.0192895952392246,-0.00681184126252476,4,4,4,"Acropora"
"Acropora loisetteae","Acropora loisetteae","Acropora","branching_open","pacific",5,1,3,2,5,4,5,1.6,1,"spawner",NA,NA,58.7,146.7,"Acropora...Staghorn","branching_open",2.025,4.07243972683405,0.470003629245736,4.98838968514894,-2.72297644525072,0.691318990312938,0.222808634561757,-0.323687941343581,-0.277473334677169,-0.0697385728003729,0.0165118239534927,-0.00870056190948723,0.277473334677169,-0.0697385728003729,0.0165118239534927,-0.00870056190948723,1,8,8,"Acropora"
